,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes
356,Aljustrel,2022,9,Beja,1738,4296,2,0,0,31,27,12,6,4905,60,1040,29,78,6034
357,Aljustrel,2022,10,Beja,1759,4273,7,0,0,29,24,16,2,4907,60,1037,28,78,6032
358,Aljustrel,2022,11,Beja,2001,4034,26,0,0,33,26,14,10,4908,60,1038,29,109,6035
359,Aljustrel,2022,12,Beja,1729,4307,51,0,1,35,29,10,7,4909,60,1038,29,133,6036
362,Aljustrel,2023,3,Beja,1673,4372,31,0,0,41,33,24,8,4919,60,1038,28,137,6045
363,Aljustrel,2023,4,Beja,1675,4370,23,0,0,45,47,11,12,4919,60,1038,28,138,6045
364,Aljustrel,2023,5,Beja,1653,4392,34,0,0,66,43,15,11,4919,60,1038,28,169,6045
365,Aljustrel,2023,6,Beja,1652,4406,4,0,0,42,39,19,14,4923,60,1043,32,118,6058
366,Aljustrel,2023,7,Beja,1651,4413,4,0,0,45,38,7,15,4926,60,1047,31,109,6064
367,Aljustrel,2023,8,Beja,1639,4429,2,0,8,43,34,11,6,4927,60,1050,31,104,6068
368,Aljustrel,2023,9,Beja,1632,4442,5,0,0,26,26,15,9,4932,60,1052,30,81,6074
369,Aljustrel,2023,10,Beja,1057,5011,3,0,0,44,36,18,11,4926,60,1052,30,112,6068
370,Aljustrel,2023,11,Beja,858,5218,1,0,0,49,45,30,9,4933,60,1052,31,134,6076
371,Aljustrel,2023,12,Beja,706,5373,0,0,0,32,24,28,3,4938,60,1050,31,87,6079
372,Aljustrel,2024,1,Beja,684,5388,1,0,0,42,35,29,6,4933,60,1049,30,113,6072
373,Aljustrel,2024,2,Beja,615,5458,1,0,0,17,17,10,1,4933,60,1049,31,46,6073
374,Aljustrel,2024,3,Beja,603,5472,3,0,0,40,29,14,6,4934,60,1050,31,92,6075
400,Almeida,2022,3,Guarda,3646,3361,0,0,0,3,2,5,5,5735,124,1138,10,15,7007
401,Almeida,2022,4,Guarda,3671,3338,0,0,0,10,7,12,3,5732,125,1139,13,32,7009
402,Almeida,2022,5,Guarda,3481,3512,1,0,0,10,10,4,3,5717,125,1140,11,28,6993
403,Almeida,2022,6,Guarda,3473,3514,1,0,0,18,18,13,7,5715,125,1135,12,57,6987
404,Almeida,2022,7,Guarda,3291,3696,1,0,0,8,9,11,3,5714,125,1135,13,32,6987
405,Almeida,2022,8,Guarda,3198,3790,0,0,0,21,12,15,5,5714,125,1136,13,53,6988
406,Almeida,2022,9,Guarda,3210,3773,1,0,0,12,9,12,5,5711,125,1135,12,39,6983
407,Almeida,2022,10,Guarda,3067,3923,4,1,0,14,13,12,5,5714,125,1138,13,49,6990
409,Almeida,2022,12,Guarda,3027,3965,74,0,0,13,12,15,8,5711,125,1141,15,122,6992
413,Almeida,2023,4,Guarda,2603,4392,77,0,0,15,14,10,8,5713,125,1146,11,124,6995
415,Almeida,2023,6,Guarda,2286,4728,24,0,0,18,16,11,8,5724,127,1152,11,77,7014
416,Almeida,2023,7,Guarda,1915,5108,0,0,0,10,8,13,6,5730,127,1153,13,37,7023
417,Almeida,2023,8,Guarda,1725,5301,0,0,6,17,16,18,11,5737,127,1151,11,68,7026
418,Almeida,2023,9,Guarda,1508,5511,4,0,1,18,14,14,2,5731,127,1152,9,53,7019
419,Almeida,2023,10,Guarda,1436,5587,11,0,0,21,15,13,9,5735,127,1152,9,69,7023
420,Almeida,2023,11,Guarda,1167,5858,2,0,0,43,26,18,9,5738,127,1151,9,98,7025
421,Almeida,2023,12,Guarda,921,6107,1,0,0,14,10,12,7,5737,127,1151,13,44,7028
422,Almeida,2024,1,Guarda,866,6157,1,0,0,33,23,18,12,5738,127,1149,9,87,7023
423,Almeida,2024,2,Guarda,770,6249,2,0,0,20,10,8,1,5732,127,1151,9,41,7019
424,Almeida,2024,3,Guarda,691,6323,2,0,0,17,15,20,11,5729,127,1150,8,65,7014
450,Almodôvar,2022,3,Beja,3320,2339,0,0,0,6,3,4,2,4288,175,1181,15,15,5659
451,Almodôvar,2022,4,Beja,3273,2383,0,0,0,12,14,6,2,4286,175,1180,15,34,5656
452,Almodôvar,2022,5,Beja,3253,2400,0,0,0,8,6,5,0,4284,175,1179,15,19,5653
453,Almodôvar,2022,6,Beja,3268,2391,1,0,0,16,13,8,0,4288,175,1181,15,38,5659
454,Almodôvar,2022,7,Beja,3208,2451,0,0,0,19,16,6,5,4290,175,1180,14,46,5659
455,Almodôvar,2022,8,Beja,3169,2496,1,0,0,23,13,13,5,4292,175,1185,13,55,5665
456,Almodôvar,2022,9,Beja,3303,2360,0,0,0,13,10,7,8,4290,176,1186,11,38,5663
457,Almodôvar,2022,10,Beja,3262,2397,3,0,0,13,12,2,3,4287,176,1185,11,33,5659
458,Almodôvar,2022,11,Beja,2647,3015,30,0,0,19,17,6,4,4290,177,1184,11,76,5662
460,Almodôvar,2023,1,Beja,2229,3440,74,0,2,27,21,17,10,4293,177,1188,11,151,5669
464,Almodôvar,2023,5,Beja,1974,3701,47,1,0,30,22,10,8,4296,177,1190,12,118,5675
465,Almodôvar,2023,6,Beja,1900,3793,27,0,0,31,27,10,7,4312,177,1190,14,102,5693
466,Almodôvar,2023,7,Beja,1761,3937,0,0,0,30,33,10,11,4310,177,1196,15,84,5698
467,Almodôvar,2023,8,Beja,1645,4057,0,0,3,34,26,15,10,4312,177,1200,13,88,5702
468,Almodôvar,2023,9,Beja,1225,4480,1,0,1,18,15,14,10,4313,177,1201,14,59,5705
469,Almodôvar,2023,10,Beja,1204,4499,3,0,1,31,24,19,13,4312,177,1201,13,91,5703
470,Almodôvar,2023,11,Beja,1095,4613,0,0,0,37,37,16,10,4316,177,1202,13,100,5708
