,concelho,ano,mes,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_REMOTE_ICP_CONFIGURATION,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros,total_servicos_realizados,total_cpes,energia_ativa
292,Alfândega da Fé,2023,8,364,3811,1,0,6,25,19,12,14,3251,57,839,28,77,4175,933593.733
293,Alfândega da Fé,2023,9,364,3810,6,0,0,16,14,12,9,3249,57,840,28,57,4174,794599.05
294,Alfândega da Fé,2023,10,336,3836,5,0,0,23,18,10,9,3247,57,841,27,65,4172,865118.754
295,Alfândega da Fé,2023,11,401,3773,0,0,0,32,18,11,4,3246,57,844,27,65,4174,1031841.6579999999
296,Alfândega da Fé,2023,12,375,3795,0,0,0,12,12,11,12,3244,57,843,26,47,4170,1313795.5529999998
297,Alfândega da Fé,2024,1,381,3790,2,0,0,27,23,18,7,3244,57,845,25,77,4171,1176532.477
298,Alfândega da Fé,2024,2,299,3870,3,0,0,12,6,7,3,3243,57,844,25,31,4169,334600.523
300,Alijó,2022,3,4797,4308,1,0,0,7,6,1,8,7451,92,1534,28,23,9105,2428380.451
301,Alijó,2022,4,4606,4497,4,0,0,21,24,14,9,7451,92,1534,26,72,9103,2153075.299
302,Alijó,2022,5,4433,4660,4,0,0,24,18,8,10,7441,92,1534,26,64,9093,2124160.733
303,Alijó,2022,6,4596,4507,6,0,0,33,30,11,10,7448,92,1535,28,90,9103,2027548.494
304,Alijó,2022,7,4266,4848,5,0,0,30,25,6,6,7451,92,1542,29,72,9114,2240281.245
305,Alijó,2022,8,4253,4863,2,0,0,39,30,9,12,7451,93,1544,28,92,9116,2443644.447
306,Alijó,2022,9,4300,4817,7,0,0,31,28,10,9,7454,94,1547,22,85,9117,2576026.654
307,Alijó,2022,10,4234,4873,9,0,0,25,24,12,8,7446,94,1545,22,78,9107,2458284.499
