,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente
298,Alfândega da Fé,2023,3,Bragança,390,3775
299,Alfândega da Fé,2023,4,Bragança,391,3771
300,Alfândega da Fé,2023,5,Bragança,400,3762
301,Alfândega da Fé,2023,6,Bragança,400,3767
302,Alfândega da Fé,2023,7,Bragança,375,3797
303,Alfândega da Fé,2023,8,Bragança,364,3811
304,Alfândega da Fé,2023,9,Bragança,364,3810
305,Alfândega da Fé,2023,10,Bragança,336,3836
306,Alfândega da Fé,2023,11,Bragança,401,3773
307,Alfândega da Fé,2023,12,Bragança,375,3795
308,Alfândega da Fé,2024,1,Bragança,381,3790
309,Alfândega da Fé,2024,2,Bragança,299,3870
310,Alfândega da Fé,2024,3,Bragança,246,3929
311,Alfândega da Fé,2024,4,Bragança,242,3933
312,Alijó,2022,3,Vila Real,4797,4308
313,Alijó,2022,4,Vila Real,4606,4497
314,Alijó,2022,5,Vila Real,4433,4660
315,Alijó,2022,6,Vila Real,4596,4507
316,Alijó,2022,7,Vila Real,4266,4848
317,Alijó,2022,8,Vila Real,4253,4863
318,Alijó,2022,9,Vila Real,4300,4817
319,Alijó,2022,10,Vila Real,4234,4873
320,Alijó,2022,11,Vila Real,4259,4838
321,Alijó,2022,12,Vila Real,4196,4902
322,Alijó,2023,1,Vila Real,4191,4914
323,Alijó,2023,2,Vila Real,4175,4949
324,Alijó,2023,3,Vila Real,3948,5184
325,Alijó,2023,4,Vila Real,4010,5122
326,Alijó,2023,5,Vila Real,4044,5088
327,Alijó,2023,6,Vila Real,4055,5091
328,Alijó,2023,7,Vila Real,4009,5141
329,Alijó,2023,8,Vila Real,3920,5242
330,Alijó,2023,9,Vila Real,3988,5173
331,Alijó,2023,10,Vila Real,3981,5182
332,Alijó,2023,11,Vila Real,3983,5169
333,Alijó,2023,12,Vila Real,3953,5192
334,Alijó,2024,1,Vila Real,4108,5039
335,Alijó,2024,2,Vila Real,3866,5264
336,Alijó,2024,3,Vila Real,3640,5490
337,Alijó,2024,4,Vila Real,3676,5453
338,Aljezur,2022,3,Faro,3825,2591
339,Aljezur,2022,4,Faro,3837,2581
340,Aljezur,2022,5,Faro,3716,2712
341,Aljezur,2022,6,Faro,3696,2730
342,Aljezur,2022,7,Faro,3616,2826
343,Aljezur,2022,8,Faro,3540,2907
344,Aljezur,2022,9,Faro,3675,2769
345,Aljezur,2022,10,Faro,3462,2988
346,Aljezur,2022,11,Faro,3502,2963
347,Aljezur,2022,12,Faro,3307,3164
348,Aljezur,2023,1,Faro,3356,3121
349,Aljezur,2023,2,Faro,3236,3242
350,Aljezur,2023,3,Faro,3066,3410
351,Aljezur,2023,4,Faro,2967,3509
352,Aljezur,2023,5,Faro,2826,3650
353,Aljezur,2023,6,Faro,2777,3746
354,Aljezur,2023,7,Faro,2470,4070
355,Aljezur,2023,8,Faro,2495,4051
356,Aljezur,2023,9,Faro,2462,4096
357,Aljezur,2023,10,Faro,2178,4391
358,Aljezur,2023,11,Faro,2069,4501
359,Aljezur,2023,12,Faro,1989,4593
360,Aljezur,2024,1,Faro,1926,4660
361,Aljezur,2024,2,Faro,1808,4778
362,Aljezur,2024,3,Faro,1764,4826
363,Aljezur,2024,4,Faro,1752,4836
364,Aljustrel,2022,3,Beja,2037,3974
365,Aljustrel,2022,4,Beja,1931,4078
366,Aljustrel,2022,5,Beja,1788,4212
367,Aljustrel,2022,6,Beja,1888,4116
368,Aljustrel,2022,7,Beja,1756,4259
369,Aljustrel,2022,8,Beja,1759,4268
370,Aljustrel,2022,9,Beja,1738,4296
371,Aljustrel,2022,10,Beja,1759,4273
372,Aljustrel,2022,11,Beja,2001,4034
