,concelho,ano,mes,distrito,numero_cpes_doméstico,numero_cpes_iluminacao_publica,numero_cpes_nao_domestico,numero_cpes_outros
448,Almeirim,2024,2,Santarém,10272,158,3606,57
449,Almeirim,2024,3,Santarém,10282,158,3619,59
450,Almodôvar,2022,3,Beja,4288,175,1181,15
451,Almodôvar,2022,4,Beja,4286,175,1180,15
452,Almodôvar,2022,5,Beja,4284,175,1179,15
453,Almodôvar,2022,6,Beja,4288,175,1181,15
454,Almodôvar,2022,7,Beja,4290,175,1180,14
455,Almodôvar,2022,8,Beja,4292,175,1185,13
456,Almodôvar,2022,9,Beja,4290,176,1186,11
457,Almodôvar,2022,10,Beja,4287,176,1185,11
458,Almodôvar,2022,11,Beja,4290,177,1184,11
459,Almodôvar,2022,12,Beja,4290,177,1185,11
460,Almodôvar,2023,1,Beja,4293,177,1188,11
461,Almodôvar,2023,2,Beja,4298,177,1190,11
462,Almodôvar,2023,3,Beja,4297,177,1190,12
463,Almodôvar,2023,4,Beja,4296,177,1190,12
464,Almodôvar,2023,5,Beja,4296,177,1190,12
465,Almodôvar,2023,6,Beja,4312,177,1190,14
466,Almodôvar,2023,7,Beja,4310,177,1196,15
467,Almodôvar,2023,8,Beja,4312,177,1200,13
468,Almodôvar,2023,9,Beja,4313,177,1201,14
469,Almodôvar,2023,10,Beja,4312,177,1201,13
470,Almodôvar,2023,11,Beja,4316,177,1202,13
471,Almodôvar,2023,12,Beja,4317,177,1203,14
472,Almodôvar,2024,1,Beja,4326,177,1202,12
473,Almodôvar,2024,2,Beja,4328,177,1201,12
474,Almodôvar,2024,3,Beja,4328,177,1204,14
475,Alpiarça,2022,3,Santarém,3257,59,1148,23
476,Alpiarça,2022,4,Santarém,3255,59,1160,23
