,concelho,ano,mes,distrito,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao
224,Alcoutim,2023,7,Faro,0,0,13,10,6,0
225,Alcoutim,2023,8,Faro,1,0,9,8,5,3
226,Alcoutim,2023,9,Faro,0,0,8,8,10,3
227,Alcoutim,2023,10,Faro,0,0,11,7,7,6
228,Alcoutim,2023,11,Faro,0,0,22,16,7,7
229,Alcoutim,2023,12,Faro,0,0,5,8,5,3
230,Alcoutim,2024,1,Faro,1,0,19,10,8,4
231,Alcoutim,2024,2,Faro,0,0,3,7,3,2
232,Alcoutim,2024,3,Faro,0,0,9,7,9,2
233,Alcoutim,2024,4,Faro,0,0,4,3,0,1
234,Alcácer do Sal,2022,3,Setúbal,2,0,31,22,14,7
235,Alcácer do Sal,2022,4,Setúbal,2,0,60,63,34,20
236,Alcácer do Sal,2022,5,Setúbal,7,0,71,59,28,14
237,Alcácer do Sal,2022,6,Setúbal,9,0,77,71,28,19
238,Alcácer do Sal,2022,7,Setúbal,8,0,60,58,51,14
239,Alcácer do Sal,2022,8,Setúbal,17,0,77,69,35,23
240,Alcácer do Sal,2022,9,Setúbal,8,1,51,53,42,15
241,Alcácer do Sal,2022,10,Setúbal,15,0,52,47,47,18
242,Alcácer do Sal,2022,11,Setúbal,122,1,66,58,42,18
243,Alcácer do Sal,2022,12,Setúbal,151,0,50,46,53,9
244,Alcácer do Sal,2023,1,Setúbal,130,0,61,58,40,22
245,Alcácer do Sal,2023,2,Setúbal,72,0,55,54,38,21
246,Alcácer do Sal,2023,3,Setúbal,72,0,55,50,36,18
247,Alcácer do Sal,2023,4,Setúbal,34,0,63,57,19,26
248,Alcácer do Sal,2023,5,Setúbal,43,0,82,69,25,33
249,Alcácer do Sal,2023,6,Setúbal,9,0,69,69,28,26
250,Alcácer do Sal,2023,7,Setúbal,5,0,53,51,27,15
