,Ano,Mês,Concelho,Energia Ativa (kWh)
79177,2022,4,Vila do Conde,660601.43
79178,2022,4,Chaves,77903.364
79179,2022,4,Chaves,996973.128
79180,2022,4,Chaves,30241.67
79181,2022,4,Montalegre,23717.535
79182,2022,5,Oliveira de Azeméis,527571.771
79183,2022,5,Santa Maria da Feira,580169.559
79184,2022,5,Mértola,81902.157
79185,2022,5,Fundão,129614.377
79186,2022,6,Guimarães,184928.257
79187,2022,6,Vila do Bispo,92548.322
79188,2022,6,Oliveira de Frades,92102.252
79189,2022,7,Castelo Branco,194408.044
79190,2022,7,Faro,11296383.91
79191,2022,7,Monforte,167889.849
79192,2022,7,Felgueiras,340569.253
79193,2022,7,Vila Nova de Gaia,2186738.854
79194,2022,7,Almada,7718878.099
79195,2022,7,Lamego,63514.967
79196,2022,8,Arouca,387877.967
79197,2022,8,Vinhais,24666.833
79198,2022,8,Mêda,27926.062
79199,2022,8,Cadaval,316380.002
79200,2022,8,Sousel,19395.156
79201,2022,8,Amarante,353491.992
79202,2022,8,Maia,154829.287
79203,2022,8,Alpiarça,3013042.267
79204,2022,8,Moita,266159.808
79205,2022,8,Vila Pouca de Aguiar,69248.018
79206,2022,9,Odemira,116160.896
79207,2022,9,Guimarães,959885.555
79208,2022,9,Arganil,157297.668
79209,2022,9,Oliveira do Hospital,68458.669
79210,2022,9,Guarda,256268.907
79211,2022,9,Pombal,92056.578
79212,2022,9,Marco de Canaveses,23603.148
79213,2022,9,Paços de Ferreira,1487172.434
79214,2022,9,Ponte de Lima,21675.61
79215,2022,10,Barcelos,105986.275
79216,2022,10,Póvoa de Lanhoso,111130.173
79217,2022,10,Vizela,407299.939
79218,2022,10,Torre de Moncorvo,537456.888
79219,2022,10,Proença-a-Nova,341582.395
79220,2022,10,Rio Maior,116736.33
79221,2022,10,Torres Novas,334385.404
79222,2022,10,Monção,64988.349
79223,2022,10,Vila Pouca de Aguiar,116568.339
79224,2022,10,Tondela,2174070.518
79225,2022,11,Covilhã,169233.293
79226,2022,11,Mêda,36158.091
79227,2022,11,Alvaiázere,75438.419
79228,2022,11,Almada,3145920.155
79229,2022,11,Arcos de Valdevez,588584.963
79230,2022,11,Melgaço,133874.415
79231,2022,11,Chaves,366460.341
79232,2022,11,Oliveira de Frades,91892.591
79233,2022,11,Tondela,281621.987
79234,2022,12,Murtosa,615247.531
79235,2022,12,Gondomar,6065981.428
79236,2023,1,Barcelos,2414487.519
79237,2023,1,Guimarães,197145.887
79238,2023,1,Guimarães,862506.316
79239,2023,1,Guimarães,734742.996
79240,2023,1,Silves,696323.997
79241,2023,1,Alvaiázere,397122.736
79242,2023,1,Lisboa,2899128.645
79243,2023,1,Ponte de Lima,197556.311
79244,2023,1,Santa Marta de Penaguião,500152.35
79245,2023,1,Valpaços,79922.962
79246,2023,1,Tarouca,121163.951
79247,2023,2,Guimarães,583939.493
79248,2023,2,Vila Nova de Famalicão,2025264.442
79249,2023,2,Tavira,447454.128
79250,2023,2,Avis,98100.264
79251,2023,2,São João da Pesqueira,87708.318
79252,2023,2,Viseu,379756.518
79253,2023,3,Almodôvar,126429.248
79254,2023,3,Covilhã,128650.262
79255,2023,3,Figueira da Foz,213600.163
79256,2023,3,Oliveira do Hospital,141027.769
79257,2023,3,Portimão,3768314.652
79258,2023,3,Ponte de Sor,501793.765
79259,2023,3,Santarém,351646.29
79260,2023,3,Alcácer do Sal,595164.214
79261,2023,4,Vila Nova de Famalicão,1077843.385
79262,2023,4,Oliveira do Hospital,1131279.406
79263,2023,4,Figueira de Castelo Rodrigo,61055.662
79264,2023,4,Valença,146197.824
79265,2023,4,Boticas,123859.315
79266,2023,4,Castro daire,71718.388
79267,2023,4,Moimenta da Beira,40596.174
79268,2023,5,Braga,2393652.81
79269,2023,5,Mirandela,86167.366
79270,2023,5,Porto de Mós,228922.575
79271,2023,5,Castelo de Vide,169191.44
79272,2023,5,Melgaço,131689.002
79273,2023,5,Ponte de Lima,123943.846
79274,2023,5,Chaves,56422.518
79275,2023,5,Vila Real,106115.797
79276,2023,6,Beja,428385.387
79277,2023,6,Ferreira do Alentejo,916903.838
79278,2023,6,Barcelos,41208.324
79279,2023,6,Campo Maior,607578.71
79280,2023,6,Vila do Conde,408702.469
79281,2023,6,Seixal,2956856.824
79282,2023,6,São Pedro do Sul,92230.178
79283,2023,7,Moura,344268.112
79284,2023,7,Lisboa,4288018.133
79285,2023,7,Fronteira,43821.452
79286,2023,7,Moita,292728.233
79287,2023,8,Guimarães,192074.861
79288,2023,8,Bragança,98801.787
79289,2023,8,Macedo de Cavaleiros,20106.062
79290,2023,8,Leiria,202633.88
79291,2023,8,Odivelas,532109.965
79292,2023,8,Sintra,1335957.237
79293,2023,8,Alijó,42116.63
79294,2023,9,Vila de Rei,75155.148
79295,2023,9,Barreiro,928315.638
79296,2023,9,Montijo,3839367.173
79297,2023,9,Valença,220675.823
79298,2023,9,Murça,36825.316
79299,2023,10,Fafe,131696.539
79300,2023,10,Fornos de Algodres,38041.72
79301,2023,10,Santo Tirso,421316.231
79302,2023,10,São Pedro do Sul,719236.025
79303,2023,11,Mêda,66867.393
79304,2023,11,Paredes,3915179.291
79305,2023,11,Póvoa de Varzim,906023.068
79306,2023,11,Vouzela,212340.215
79307,2023,12,Sertã,55523.32
79308,2023,12,Figueira da Foz,5205497.135
79309,2023,12,Monção,141695.568
79310,2023,12,Valença,1646076.981
79311,2023,12,Viana do Castelo,2654841.536
79312,2023,12,Chaves,26575.653
79313,2024,1,Oliveira de Azeméis,1590258.754
79314,2024,1,Vinhais,31102.353
